t,Date,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
46,19/12/1998,353,10,7.2,359.1111111,6.25,0.79,360,5.2
47,19/12/1998,353,11,7.5,370.3333333,6.452,0.79,360,5.2
48,19/12/1998,353,12,8.6,594.7777778,6.756,0.71,360,5.2
49,19/12/1998,353,13,8.8,493.7777778,7.075,0.7,360,5.2
50,19/12/1998,353,14,8.5,314.2222222,7.195,0.71,360,5.2
51,19/12/1998,353,15,8,213.2222222,7.135,0.7,360,5.2
52,19/12/1998,353,16,7.5,11.22222222,7.038,0.72,360,5.2
53,19/12/1998,353,17,6.5,0,6.736,0.78,360,5.2
54,19/12/1998,353,18,5.8,0,6.371,0.82,360,5.2
55,19/12/1998,353,19,5.2,0,6.143,0.89,360,5.2
56,19/12/1998,353,20,5.6,0,5.922,0.88,360,5.2
57,19/12/1998,353,21,5.7,0,5.792,0.87,360,5.2
58,19/12/1998,353,22,5.7,0,5.711,0.87,360,5.2
59,19/12/1998,353,23,5.1,0,5.686,0.9,360,5.2
60,19/12/1998,353,24,4.6,0,5.675,0.92,360,4.2
61,20/12/1998,354,1,4.3,0,5.621,0.93,360,4.2
62,20/12/1998,354,2,4.1,0,5.535,0.93,360,4.2
63,20/12/1998,354,3,4,0,5.433,0.94,360,4.2
64,20/12/1998,354,4,4,0,5.351,0.95,360,4.2
65,20/12/1998,354,5,3.8,0,5.298,0.95,360,4.2
66,20/12/1998,354,6,3.9,0,5.246,0.95,360,4.2
67,20/12/1998,354,7,3.6,0,5.174,0.94,360,4.2
68,20/12/1998,354,8,3.6,0,5.087,0.94,360,4.2
69,20/12/1998,354,9,3.6,22.44444444,4.998,0.94,360,4.2
70,20/12/1998,354,10,3.6,44.88888889,4.948,0.94,360,4.2
71,20/12/1998,354,11,4.1,101,4.967,0.94,360,4.2
72,20/12/1998,354,12,4.4,123.4444444,5.114,0.92,360,4.2
73,20/12/1998,354,13,4.5,145.8888889,5.328,0.88,360,4.2
74,20/12/1998,354,14,4.6,123.4444444,5.435,0.86,360,4.2
75,20/12/1998,354,15,4.4,112.2222222,5.442,0.83,360,4.2
76,20/12/1998,354,16,4.1,56.11111111,5.256,0.81,360,4.2
77,20/12/1998,354,17,3.3,0,4.898,0.82,360,4.2
78,20/12/1998,354,18,2.7,0,4.395,0.83,360,4.2
79,20/12/1998,354,19,1.8,0,3.926,0.85,360,4.2
80,20/12/1998,354,20,1.6,0,3.537,0.88,360,4.2
81,20/12/1998,354,21,1.5,0,3.16,0.89,360,4.2
82,20/12/1998,354,22,0.9,0,2.847,0.91,360,4.2
83,20/12/1998,354,23,1,0,2.605,0.92,360,4.2
84,20/12/1998,354,24,1.1,0,2.494,0.93,360,1.4
85,21/12/1998,355,1,0.5,0,2.457,0.93,360,1.4
86,21/12/1998,355,2,0.7,0,2.403,0.94,360,1.4
87,21/12/1998,355,3,0.6,0,2.354,0.95,360,1.4
88,21/12/1998,355,4,-0.3,0,2.303,0.96,360,1.4
89,21/12/1998,355,5,-0.8,0,2.241,0.97,360,1.4
90,21/12/1998,355,6,0,0,2.179,0.97,360,1.4
91,21/12/1998,355,7,-0.7,0,2.143,0.97,360,1.4
92,21/12/1998,355,8,-1,11.22222222,2.07,0.98,360,1.4
93,21/12/1998,355,9,-0.1,145.8888889,1.988,0.97,360,1.4
94,21/12/1998,355,10,1.3,392.7777778,1.932,0.97,360,1.4
95,21/12/1998,355,11,2.1,505,1.921,0.93,360,1.4
96,21/12/1998,355,12,3.2,594.7777778,2.044,0.83,360,1.4
97,21/12/1998,355,13,3.2,460.1111111,2.516,0.75,360,1.4
98,21/12/1998,355,14,3.7,291.7777778,2.926,0.75,360,1.4
99,21/12/1998,355,15,3.2,224.4444444,3.189,0.73,360,1.4
100,21/12/1998,355,16,2.4,33.66666667,3.181,0.78,360,1.4
101,21/12/1998,355,17,1.7,0,2.891,0.79,360,1.4
102,21/12/1998,355,18,1.3,0,2.601,0.83,360,1.4
103,21/12/1998,355,19,1.1,0,2.25,0.87,360,1.4
104,21/12/1998,355,20,1.3,0,2.098,0.81,360,1.4
105,21/12/1998,355,21,1.5,0,2.023,0.79,360,1.4
106,21/12/1998,355,22,1,0,1.946,0.85,360,1.4
107,21/12/1998,355,23,0.8,0,1.849,0.89,360,1.4
108,21/12/1998,355,24,0.8,0,1.787,0.89,360,2.4
109,22/12/1998,356,1,0.8,0,1.742,0.9,360,2.4
110,22/12/1998,356,2,1.1,0,1.725,0.9,360,2.4
111,22/12/1998,356,3,0.7,0,1.72,0.91,360,2.4
112,22/12/1998,356,4,0.6,0,1.682,0.91,360,2.4
113,22/12/1998,356,5,0.9,0,1.654,0.91,360,2.4
114,22/12/1998,356,6,1.2,0,1.656,0.88,360,2.4
115,22/12/1998,356,7,1.7,0,1.658,0.86,360,2.4
116,22/12/1998,356,8,1.9,0,1.68,0.83,360,2.4
117,22/12/1998,356,9,2,56.11111111,1.7,0.83,360,2.4
118,22/12/1998,356,10,2.7,168.3333333,1.765,0.8,360,2.4
119,22/12/1998,356,11,3.8,314.2222222,1.95,0.76,360,2.4
120,22/12/1998,356,12,4.8,303,2.398,0.74,360,2.4
121,22/12/1998,356,13,4.9,224.4444444,2.99,0.73,360,2.4
122,22/12/1998,356,14,5.1,190.7777778,3.397,0.76,360,2.4
123,22/12/1998,356,15,5,101,3.691,0.78,360,2.4
124,22/12/1998,356,16,4,33.66666667,3.782,0.82,360,2.4
125,22/12/1998,356,17,3.5,0,3.664,0.85,360,2.4
126,22/12/1998,356,18,2.4,0,3.476,0.87,360,2.4
127,22/12/1998,356,19,2,0,3.177,0.89,360,2.4
128,22/12/1998,356,20,1.9,0,2.729,0.87,360,2.4
129,22/12/1998,356,21,1.6,0,2.489,0.88,360,2.4
130,22/12/1998,356,22,1.5,0,2.438,0.89,360,2.4
131,22/12/1998,356,23,1.2,0,2.412,0.9,360,2.4
132,22/12/1998,356,24,1.2,0,2.359,0.9,360,1.9
133,23/12/1998,357,1,0.4,0,2.303,0.9,360,1.9
134,23/12/1998,357,2,-0.2,0,2.046,0.91,360,1.9
135,23/12/1998,357,3,-0.6,0,1.827,0.94,360,1.9
136,23/12/1998,357,4,-0.2,0,1.733,0.9,360,1.9
137,23/12/1998,357,5,-0.6,0,1.66,0.91,360,1.9
138,23/12/1998,357,6,-1.3,0,1.597,0.94,360,1.9
139,23/12/1998,357,7,-1.6,0,1.531,0.96,360,1.9
140,23/12/1998,357,8,-2.1,0,1.466,0.97,360,1.9
141,23/12/1998,357,9,-1.2,157.1111111,1.393,0.97,360,1.9
142,23/12/1998,357,10,0.2,392.7777778,1.347,0.94,360,1.9
143,23/12/1998,357,11,2.1,538.6666667,1.33,0.81,360,1.9
144,23/12/1998,357,12,2.8,516.2222222,1.34,0.77,360,1.9
145,23/12/1998,357,13,3.4,336.6666667,1.498,0.75,360,1.9
146,23/12/1998,357,14,3.2,336.6666667,1.757,0.79,360,1.9
147,23/12/1998,357,15,2.9,179.5555556,2.085,0.81,360,1.9
148,23/12/1998,357,16,1.8,44.88888889,2.131,0.83,360,1.9
149,23/12/1998,357,17,1.3,0,1.902,0.85,360,1.9
150,23/12/1998,357,18,0.8,0,1.637,0.89,360,1.9
151,23/12/1998,357,19,0.6,0,1.512,0.91,360,1.9
152,23/12/1998,357,20,0.3,0,1.454,0.93,360,1.9
153,23/12/1998,357,21,0.2,0,1.407,0.92,360,1.9
154,23/12/1998,357,22,0.5,0,1.377,0.91,360,1.9
155,23/12/1998,357,23,0.9,0,1.362,0.89,360,1.9
156,23/12/1998,357,24,1.6,0,1.364,0.93,360,3.1
157,24/12/1998,358,1,1.7,0,1.379,0.96,360,3.1
158,24/12/1998,358,2,1.8,0,1.408,0.97,360,3.1
159,24/12/1998,358,3,2,0,1.474,0.98,360,3.1
160,24/12/1998,358,4,2,0,1.584,0.98,360,3.1
161,24/12/1998,358,5,2.4,0,1.697,0.99,360,3.1
162,24/12/1998,358,6,2.4,0,1.84,0.99,360,3.1
163,24/12/1998,358,7,1.3,0,1.896,0.99,360,3.1
164,24/12/1998,358,8,1.3,0,1.677,1,360,3.1
165,24/12/1998,358,9,1.8,112.2222222,1.459,1,360,3.1
166,24/12/1998,358,10,3.1,370.3333333,1.43,0.99,360,3.1
167,24/12/1998,358,11,4.5,448.8888889,1.862,0.94,360,3.1
168,24/12/1998,358,12,5.5,516.2222222,2.571,0.88,360,3.1
169,24/12/1998,358,13,6.6,572.3333333,3.346,0.82,360,3.1
170,24/12/1998,358,14,6.1,404,4.05,0.83,360,3.1
171,24/12/1998,358,15,6.3,224.4444444,4.233,0.82,360,3.1
172,24/12/1998,358,16,4.7,67.33333333,4.016,0.86,360,3.1
173,24/12/1998,358,17,3.9,0,3.58,0.89,360,3.1
174,24/12/1998,358,18,3.8,0,3.065,0.92,360,3.1
175,24/12/1998,358,19,4.2,0,2.845,0.91,360,3.1
176,24/12/1998,358,20,4.4,0,2.865,0.91,360,3.1
177,24/12/1998,358,21,4.6,0,2.97,0.9,360,3.1
178,24/12/1998,358,22,4.4,0,3.085,0.92,360,3.1
179,24/12/1998,358,23,4.3,0,3.187,0.94,360,3.1
180,24/12/1998,358,24,4.2,0,3.29,0.95,360,5.6
181,25/12/1998,359,1,4.8,0,3.422,0.97,360,5.6
182,25/12/1998,359,2,5,0,3.603,0.98,360,5.6
183,25/12/1998,359,3,5,0,3.808,0.98,360,5.6
184,25/12/1998,359,4,5,0,3.949,0.98,360,5.6
185,25/12/1998,359,5,5.3,0,4.072,0.98,360,5.6
186,25/12/1998,359,6,5.7,0,4.213,0.99,360,5.6
187,25/12/1998,359,7,5.7,0,4.358,0.99,360,5.6
188,25/12/1998,359,8,5.8,0,4.479,0.99,360,5.6
189,25/12/1998,359,9,6,33.66666667,4.617,0.99,360,5.6
190,25/12/1998,359,10,6.5,89.77777778,4.808,0.99,360,5.6
191,25/12/1998,359,11,7,157.1111111,5.093,0.99,360,5.6
192,25/12/1998,359,12,7.4,179.5555556,5.429,0.99,360,5.6
193,25/12/1998,359,13,8.3,224.4444444,5.865,0.98,360,5.6
194,25/12/1998,359,14,8.7,134.6666667,6.272,0.96,360,5.6
195,25/12/1998,359,15,9.1,112.2222222,6.506,0.94,360,5.6
196,25/12/1998,359,16,8.7,22.44444444,6.654,0.93,360,5.6
197,25/12/1998,359,17,8.4,0,6.688,0.96,360,5.6
198,25/12/1998,359,18,8.7,0,6.685,0.93,360,5.6
199,25/12/1998,359,19,9,0,6.684,0.9,360,5.6
200,25/12/1998,359,20,8.9,0,6.668,0.89,360,5.6
201,25/12/1998,359,21,9.2,0,6.646,0.89,360,5.6
202,25/12/1998,359,22,8.7,0,6.643,0.9,360,5.6
203,25/12/1998,359,23,9,0,6.722,0.91,360,5.6
204,25/12/1998,359,24,8.8,0,6.8,0.92,360,6.8
205,26/12/1998,360,1,9,0,6.862,0.91,360,6.8
206,26/12/1998,360,2,8.8,0,6.91,0.93,360,6.8
207,26/12/1998,360,3,8.6,0,6.963,0.96,360,6.8
208,26/12/1998,360,4,8.4,0,7.035,0.97,360,6.8
209,26/12/1998,360,5,8.8,0,7.065,0.98,360,6.8
210,26/12/1998,360,6,8.6,0,7.1,0.97,360,6.8
211,26/12/1998,360,7,8,0,7.135,0.98,360,6.8
212,26/12/1998,360,8,6.9,0,7.09,0.97,360,6.8
213,26/12/1998,360,9,6.9,11.22222222,6.946,0.98,360,6.8
214,26/12/1998,360,10,6.8,33.66666667,6.832,0.98,360,6.8
215,26/12/1998,360,11,6.9,78.55555556,6.83,0.99,360,6.8
216,26/12/1998,360,12,6.9,89.77777778,6.871,0.98,360,6.8
217,26/12/1998,360,13,7.3,89.77777778,6.896,0.97,360,6.8
218,26/12/1998,360,14,8.1,78.55555556,6.895,0.97,360,6.8
219,26/12/1998,360,15,8.9,33.66666667,7.007,0.95,360,6.8
220,26/12/1998,360,16,9,11.22222222,7.2,0.95,360,6.8
221,26/12/1998,360,17,9.3,0,7.335,0.95,360,6.8
222,26/12/1998,360,18,9.5,0,7.475,0.89,360,6.8
223,26/12/1998,360,19,8.9,0,7.565,0.9,360,6.8
224,26/12/1998,360,20,8.9,0,7.54,0.9,360,6.8
225,26/12/1998,360,21,9.2,0,7.51,0.9,360,6.8
226,26/12/1998,360,22,9.4,0,7.545,0.91,360,6.8
227,26/12/1998,360,23,9.9,0,7.615,0.91,360,6.8
228,26/12/1998,360,24,10.3,0,7.745,0.9,360,6.7
229,27/12/1998,361,1,10.2,0,7.925,0.93,360,6.7
230,27/12/1998,361,2,10.2,0,8.07,0.93,360,6.7
231,27/12/1998,361,3,9.4,0,8.175,0.96,360,6.7
232,27/12/1998,361,4,9.1,0,8.26,0.98,360,6.7
233,27/12/1998,361,5,7.6,0,8.215,0.98,360,6.7
234,27/12/1998,361,6,7.1,0,8.055,0.98,360,6.7
235,27/12/1998,361,7,9.5,0,7.85,0.99,360,6.7
236,27/12/1998,361,8,9.8,0,7.785,0.96,360,6.7
237,27/12/1998,361,9,9.4,0,7.99,0.89,360,6.7
238,27/12/1998,361,10,9.6,33.66666667,8.025,0.84,360,6.7
239,27/12/1998,361,11,10.3,190.7777778,7.975,0.83,360,6.7
240,27/12/1998,361,12,10.9,235.6666667,8.155,0.78,360,6.7
241,27/12/1998,361,13,10.4,224.4444444,8.38,0.8,360,6.7
242,27/12/1998,361,14,10.7,145.8888889,8.435,0.79,360,6.7
243,27/12/1998,361,15,10.7,89.77777778,8.395,0.77,360,6.7
244,27/12/1998,361,16,11.1,11.22222222,8.295,0.77,360,6.7
245,27/12/1998,361,17,11.1,0,8.215,0.79,360,6.7
246,27/12/1998,361,18,10.9,0,8.235,0.83,360,6.7
247,27/12/1998,361,19,10.7,0,8.3,0.85,360,6.7
248,27/12/1998,361,20,10.4,0,8.35,0.89,360,6.7
249,27/12/1998,361,21,9.8,0,8.42,0.9,360,6.7
250,27/12/1998,361,22,10.2,0,8.4,0.89,360,6.7
251,27/12/1998,361,23,10,0,8.395,0.92,360,6.7
252,27/12/1998,361,24,9.2,0,8.45,0.9,360,4.6
253,28/12/1998,362,1,9.4,0,8.36,0.85,360,4.6
254,28/12/1998,362,2,9.7,0,8.155,0.87,360,4.6
255,28/12/1998,362,3,9.6,0,8.065,0.89,360,4.6
256,28/12/1998,362,4,9.9,0,8.045,0.89,360,4.6
257,28/12/1998,362,5,9.8,0,8.085,0.89,360,4.6
258,28/12/1998,362,6,8.1,0,8.135,0.92,360,4.6
259,28/12/1998,362,7,7.6,0,8.075,0.91,360,4.6
260,28/12/1998,362,8,7.2,0,7.82,0.93,360,4.6
261,28/12/1998,362,9,7,11.22222222,7.58,0.95,360,4.6
262,28/12/1998,362,10,7.2,33.66666667,7.425,0.93,360,4.6
263,28/12/1998,362,11,7.1,67.33333333,7.32,0.92,360,4.6
264,28/12/1998,362,12,7.2,134.6666667,7.315,0.91,360,4.6
265,28/12/1998,362,13,7,78.55555556,7.36,0.91,360,4.6
266,28/12/1998,362,14,7,89.77777778,7.265,0.9,360,4.6
267,28/12/1998,362,15,6.8,56.11111111,7.185,0.86,360,4.6
268,28/12/1998,362,16,6.5,11.22222222,7.029,0.85,360,4.6
269,28/12/1998,362,17,6,0,6.779,0.87,360,4.6
270,28/12/1998,362,18,5.4,0,6.439,0.88,360,4.6
271,28/12/1998,362,19,4.8,0,5.987,0.93,360,4.6
272,28/12/1998,362,20,4.3,0,5.571,0.94,360,4.6
273,28/12/1998,362,21,4.6,0,5.266,0.94,360,4.6
274,28/12/1998,362,22,5,0,5.235,0.94,360,4.6
275,28/12/1998,362,23,5.1,0,5.374,0.93,360,4.6
276,28/12/1998,362,24,4.9,0,5.471,0.94,360,4.2
277,29/12/1998,363,1,4.5,0,5.504,0.94,360,4.2
278,29/12/1998,363,2,4.1,0,5.495,0.95,360,4.2
279,29/12/1998,363,3,3.8,0,5.437,0.97,360,4.2
280,29/12/1998,363,4,3.6,0,5.35,0.97,360,4.2
281,29/12/1998,363,5,3.7,0,5.262,0.99,360,4.2
282,29/12/1998,363,6,3.1,0,5.208,0.99,360,4.2
283,29/12/1998,363,7,3,0,5.144,1,360,4.2
284,29/12/1998,363,8,2.8,0,5.023,1,360,4.2
285,29/12/1998,363,9,3.1,56.11111111,4.908,1,360,4.2
286,29/12/1998,363,10,4.4,213.2222222,4.945,1,360,4.2
287,29/12/1998,363,11,5.6,303,5.162,0.98,360,4.2
288,29/12/1998,363,12,6.1,291.7777778,5.599,0.93,360,4.2
289,29/12/1998,363,13,8.1,460.1111111,6.054,0.87,360,4.2
290,29/12/1998,363,14,8.5,404,6.546,0.85,360,4.2
291,29/12/1998,363,15,8.6,190.7777778,6.815,0.87,360,4.2
292,29/12/1998,363,16,8.4,44.88888889,6.747,0.87,360,4.2
293,29/12/1998,363,17,8.3,0,6.533,0.87,360,4.2
294,29/12/1998,363,18,7.6,0,6.287,0.89,360,4.2
295,29/12/1998,363,19,7.6,0,6.091,0.88,360,4.2
296,29/12/1998,363,20,7.9,0,5.953,0.86,360,4.2
297,29/12/1998,363,21,8.3,0,5.841,0.82,360,4.2
298,29/12/1998,363,22,7.9,0,5.74,0.79,360,4.2
299,29/12/1998,363,23,7.8,0,5.663,0.8,360,4.2
300,29/12/1998,363,24,7.5,0,5.562,0.8,360,4.3
301,30/12/1998,364,1,7.1,0,5.395,0.81,360,4.3
302,30/12/1998,364,2,7.2,0,5.241,0.8,360,4.3
303,30/12/1998,364,3,7.2,0,5.163,0.79,360,4.3
304,30/12/1998,364,4,8.2,0,5.177,0.76,360,4.3
305,30/12/1998,364,5,8.4,0,5.242,0.76,360,4.3
306,30/12/1998,364,6,8.5,0,5.429,0.75,360,4.3
307,30/12/1998,364,7,8.7,0,5.641,0.75,360,4.3
308,30/12/1998,364,8,9.3,0,5.804,0.73,360,4.3
309,30/12/1998,364,9,9.3,33.66666667,5.967,0.74,360,4.3
310,30/12/1998,364,10,9.6,89.77777778,6.176,0.74,360,4.3
311,30/12/1998,364,11,9.5,134.6666667,6.408,0.76,360,4.3
312,30/12/1998,364,12,9.6,123.4444444,6.671,0.78,360,4.3
313,30/12/1998,364,13,9.8,145.8888889,6.884,0.77,360,4.3
314,30/12/1998,364,14,9.8,134.6666667,7.05,0.76,360,4.3
315,30/12/1998,364,15,9.7,78.55555556,7.13,0.75,360,4.3
316,30/12/1998,364,16,9.7,11.22222222,7.09,0.76,360,4.3
317,30/12/1998,364,17,9.6,0,7.025,0.77,360,4.3
318,30/12/1998,364,18,9.3,0,6.957,0.8,360,4.3
319,30/12/1998,364,19,9.5,0,6.896,0.8,360,4.3
320,30/12/1998,364,20,9.1,0,6.829,0.81,360,4.3
321,30/12/1998,364,21,8.7,0,6.805,0.85,360,4.3
322,30/12/1998,364,22,8.6,0,6.777,0.88,360,4.3
323,30/12/1998,364,23,8.6,0,6.833,0.92,360,4.3
324,30/12/1998,364,24,8.5,0,6.949,0.94,360,5.3
325,31/12/1998,365,1,8.4,0,7.075,0.94,360,5.3
326,31/12/1998,365,2,8.3,0,7.15,0.95,360,5.3
327,31/12/1998,365,3,8.3,0,7.19,0.95,360,5.3
328,31/12/1998,365,4,8,0,7.22,0.94,360,5.3
329,31/12/1998,365,5,8.2,0,7.235,0.94,360,5.3
330,31/12/1998,365,6,8.1,0,7.23,0.94,360,5.3
331,31/12/1998,365,7,7.8,0,7.195,0.94,360,5.3
332,31/12/1998,365,8,7.6,0,7.17,0.94,360,5.3
333,31/12/1998,365,9,7.9,22.44444444,7.13,0.93,360,5.3
334,31/12/1998,365,10,8.2,89.77777778,7.145,0.91,360,5.3
335,31/12/1998,365,11,8.8,190.7777778,7.24,0.87,360,5.3
336,31/12/1998,365,12,8.8,224.4444444,7.495,0.85,360,5.3
337,31/12/1998,365,13,9.2,168.3333333,7.705,0.84,360,5.3
338,31/12/1998,365,14,9.9,280.5555556,7.835,0.8,360,5.3
339,31/12/1998,365,15,9.9,179.5555556,8.02,0.79,360,5.3
340,31/12/1998,365,16,10.1,101,8.01,0.73,360,5.3
341,31/12/1998,365,17,10.3,0,7.765,0.74,360,5.3
342,31/12/1998,365,18,9.9,0,7.51,0.74,360,5.3
343,31/12/1998,365,19,10,0,7.35,0.72,360,5.3
344,31/12/1998,365,20,9.7,0,7.27,0.72,360,5.3
345,31/12/1998,365,21,9.7,0,7.125,0.71,360,5.3
346,31/12/1998,365,22,9.7,0,6.923,0.7,360,5.3
347,31/12/1998,365,23,9.3,0,6.86,0.71,360,5.3
348,31/12/1998,365,24,9.4,0,6.859,0.74,360,3.1
349,01/01/1999,1,1,8.9,0,6.797,0.76,360,3.1
350,01/01/1999,1,2,9.1,0,6.639,0.76,360,3.1
351,01/01/1999,1,3,8.6,0,6.538,0.77,360,3.1
352,01/01/1999,1,4,8.2,0,6.485,0.77,360,3.1
353,01/01/1999,1,5,7.5,0,6.297,0.8,360,3.1
354,01/01/1999,1,6,7.2,0,5.943,0.81,360,3.1
355,01/01/1999,1,7,6.9,0,5.646,0.82,360,3.1
356,01/01/1999,1,8,6.9,0,5.421,0.85,360,3.1
357,01/01/1999,1,9,7.7,101,5.104,0.84,360,3.1
358,01/01/1999,1,10,8.9,269.3333333,5.152,0.81,360,3.1
359,01/01/1999,1,11,9.2,460.1111111,5.721,0.79,360,3.1
360,01/01/1999,1,12,9.5,280.5555556,6.477,0.78,360,3.1
361,01/01/1999,1,13,9.4,224.4444444,7.003,0.78,360,3.1
362,01/01/1999,1,14,10.4,370.3333333,7.365,0.76,360,3.1
363,01/01/1999,1,15,10.2,291.7777778,7.605,0.77,360,3.1
364,01/01/1999,1,16,9,67.33333333,7.495,0.85,360,3.1
365,01/01/1999,1,17,7.8,0,7.057,0.89,360,3.1
366,01/01/1999,1,18,7.8,0,6.549,0.89,360,3.1
367,01/01/1999,1,19,8,0,6.15,0.83,360,3.1
368,01/01/1999,1,20,7.3,0,5.959,0.86,360,3.1
369,01/01/1999,1,21,7.4,0,5.768,0.89,360,3.1
370,01/01/1999,1,22,7,0,5.645,0.9,360,3.1
371,01/01/1999,1,23,6.6,0,5.564,0.93,360,3.1
372,01/01/1999,1,24,6.7,0,5.515,0.92,360,6.1
373,02/01/1999,2,1,7,0,5.539,0.93,360,6.1
374,02/01/1999,2,2,7.2,0,5.577,0.91,360,6.1
375,02/01/1999,2,3,7.9,0,5.679,0.88,360,6.1
376,02/01/1999,2,4,7.6,0,5.825,0.88,360,6.1
377,02/01/1999,2,5,7.5,0,5.924,0.88,360,6.1
378,02/01/1999,2,6,7.5,0,6.017,0.88,360,6.1
379,02/01/1999,2,7,7.4,0,6.051,0.88,360,6.1
380,02/01/1999,2,8,7,0,6.067,0.92,360,6.1
381,02/01/1999,2,9,7.4,11.22222222,6.127,0.89,360,6.1
382,02/01/1999,2,10,7.7,56.11111111,6.224,0.89,360,6.1
383,02/01/1999,2,11,8.1,101,6.391,0.9,360,6.1
384,02/01/1999,2,12,8.6,179.5555556,6.621,0.88,360,6.1
385,02/01/1999,2,13,9.1,291.7777778,6.949,0.87,360,6.1
386,02/01/1999,2,14,9.9,314.2222222,7.33,0.82,360,6.1
387,02/01/1999,2,15,9.5,224.4444444,7.44,0.82,360,6.1
388,02/01/1999,2,16,8.6,44.88888889,7.34,0.87,360,6.1
389,02/01/1999,2,17,8.4,0,7.085,0.9,360,6.1
390,02/01/1999,2,18,5,0,6.95,0.96,360,6.1
391,02/01/1999,2,19,5.3,0,6.508,0.94,360,6.1
392,02/01/1999,2,20,4.9,0,6.125,0.94,360,6.1
393,02/01/1999,2,21,5.2,0,5.72,0.91,360,6.1
394,02/01/1999,2,22,5.5,0,5.403,0.88,360,6.1
395,02/01/1999,2,23,5.6,0,5.246,0.88,360,6.1
396,02/01/1999,2,24,5.4,0,5.076,0.88,360,6.6
397,03/01/1999,3,1,4.7,0,4.863,0.88,360,6.6
398,03/01/1999,3,2,4.2,0,4.598,0.9,360,6.6
399,03/01/1999,3,3,4.7,0,4.363,0.9,360,6.6
400,03/01/1999,3,4,5.1,0,4.282,0.9,360,6.6
401,03/01/1999,3,5,5.6,0,4.317,0.92,360,6.6
402,03/01/1999,3,6,6,0,4.506,0.94,360,6.6
403,03/01/1999,3,7,6.4,0,4.825,0.94,360,6.6
404,03/01/1999,3,8,7.2,0,5.128,0.95,360,6.6
405,03/01/1999,3,9,8,33.66666667,5.509,0.95,360,6.6
406,03/01/1999,3,10,9.1,67.33333333,5.955,0.94,360,6.6
407,03/01/1999,3,11,11.1,101,6.485,0.86,360,6.6
